l,drag,SA,noseMass,Altitude
0.01,1.44692407549185,3074.183457,11.03,482.18443607616064
1.0,1.30588961672167,3737.199114,13.40886346049321,485.0771580707733
2.0,1.20753198244268,4502.525298,16.15481142605732,486.0810943423421
3.0,1.165493138177,5319.88634,19.087457580512247,484.8092119206776
4.0,1.14339160965613,6167.58724,22.128961465294875,482.65698402231646
5.0,1.12970716524784,7034.254199,25.23851451945732,480.0926041067432
6.0,1.12939379011146,7913.475752,28.39311276163698,476.9732777624085
7.0,1.13479821432533,8801.401881,31.578942540458147,473.5973638120559
8.0,1.13864836775258,9695.595169,34.78725853870535,470.2332044368668
9.0,1.15173883760397,10594.443104,38.01227515262112,466.5212155210247
10.0,1.16788377905441,11496.838871,41.25002119127921,462.6899347163344
1.5,1.24175411441212,4111.337265,14.751250427065845,486.1549307547175
1.9,1.20489091643283,4423.155538,15.8700371225568,486.44482204572705
2.5,1.18217781599538,4906.395371,-1,-1
