a,b,c,drag
6,0,0,137.103863403756
4,0,0,137.46541189388
5,0,0,137.248117644627
7,3.9458038883056097,0.8494953417752057,136.888112475754
5,1,1,136.911549610923
6,1,1,136.871330090993
7,1,1,136.837012376481
8,1,1,136.85851900581
4,1,1,136.972473052112
5,2,2,137.11660837208
6,2,2,137.076315503739
7,2,2,137.023009989561
8,2,2,137.076606106372
4,2,2,137.272550506521
5,2,1.04,136.938217194591
6,3,1.04,136.92423478298
7,3.5,1.04,136.897263919123
8,4,1.04,136.923012231663
4,2,1.04,137.006981956406
4.130446937970738,3.9458038883056097,0.8494953417752057,137.17429250407
6.8878960247924015,1.5420658688276865,2.44873441787588,137.135686588236
6.8878960247924015,2.44873441787588,1.5420658688276865,136.926935481619
9.0,2.5000120103359222,0.5000213086605072,136.821539717946
9.0,1.800009298324585,1.0000165104866028,136.879381514303
9.0,2.8999696612358097,0.09995589256286622,136.79362628848
7,2.89996966123581,0.8,136.84906829259
9.0,3.199968320131302,0.0,136.78617838390
8.799997794628144,3.0000166594982147,0.10001823902130128,136.776949096098
8.699997824430467,3.000005289912224,0.10001311302185059,136.817374753431
9.0,3.200012531876564,0.1000007301568985,136.796085888878
9.0,3.2000032484531404,0.0,136.786389838514
